#               time [ns]                      <n>
   4.3771885942971487E+00   2.0791850926031458E-04
   4.4022011005502755E+00   2.1314287716730327E-04
   4.4272136068034014E+00   2.1849580696692313E-04
   4.4522261130565282E+00   2.2398035265239023E-04
   4.4772386193096549E+00   2.2959957931662287E-04
   4.5022511255627817E+00   2.3535655969898704E-04
   4.5272636318159085E+00   2.4125437069475632E-04
   4.5522761380690353E+00   2.4729608983704062E-04
   4.5772886443221621E+00   2.5348479176118629E-04
   4.6023011505752880E+00   2.5982354466188212E-04
   4.6273136568284148E+00   2.6631540675340736E-04
   4.6523261630815416E+00   2.7296342274362741E-04
   4.6773386693346675E+00   2.7977062033249293E-04
   4.7023511755877943E+00   2.8674000674591514E-04
   4.7273636818409210E+00   2.9387456531597406E-04
   4.7523761880940478E+00   3.0117725211847195E-04
   4.7773886943471737E+00   3.0865099267887860E-04
   4.8024012006003005E+00   3.1629867875769302E-04
   4.8274137068534273E+00   3.2412316522622371E-04
   4.8524262131065541E+00   3.3212726704370571E-04
   4.8774387193596800E+00   3.4031375634657594E-04
   4.9024512256128068E+00   3.4868535966058907E-04
   4.9274637318659336E+00   3.5724475524628521E-04
   4.9524762381190603E+00   3.6599457058811974E-04
   4.9774887443721862E+00   3.7493738003732582E-04
   5.0025012506253130E+00   3.8407570261831916E-04
   5.0275137568784398E+00   3.9341200000813796E-04
   5.0525262631315657E+00   4.0294867469809940E-04
   5.0775387693846925E+00   4.1268806834646708E-04
   5.1025512756378193E+00   4.2263246033054174E-04
   5.1275637818909461E+00   4.3278406650615770E-04
   5.1525762881440720E+00   4.4314503818211024E-04
   5.1775887943971988E+00   4.5371746131655366E-04
   5.2026013006503256E+00   4.6450335594190416E-04
   5.2276138069034523E+00   4.7550467582423102E-04
   5.2526263131565782E+00   4.8672330836257077E-04
   5.2776388194097050E+00   4.9816107473299529E-04
   5.3026513256628318E+00   5.0981973028166056E-04
   5.3276638319159586E+00   5.2170096517043711E-04
   5.3526763381690845E+00   5.3380640527805466E-04
   5.3776888444222113E+00   5.4613761335903157E-04
   5.4027013506753381E+00   5.5869609046197311E-04
   5.4277138569284640E+00   5.7148327760811978E-04
   5.4527263631815908E+00   5.8450055773029896E-04
   5.4777388694347176E+00   5.9774925787171808E-04
   5.5027513756878443E+00   6.1123065164330045E-04
   5.5277638819409702E+00   6.2494596193750894E-04
   5.5527763881940970E+00   6.3889636389585899E-04
   5.5777888944472238E+00   6.5308298812657181E-04
   5.6028014007003506E+00   6.6750692416805242E-04
   5.6278139069534765E+00   6.8216922419313914E-04
   5.6528264132066033E+00   6.9707090694828952E-04
   5.6778389194597301E+00   7.1221296192115996E-04
   5.7028514257128569E+00   7.2759635372925536E-04
   5.7278639319659828E+00   7.4322202672162847E-04
   5.7528764382191095E+00   7.5909090978485891E-04
   5.7778889444722372E+00   7.7520392134385920E-04
   5.8029014507253631E+00   7.9156197454735328E-04
   5.8279139569784899E+00   8.0816598262719891E-04
   5.8529264632316167E+00   8.2501686442007570E-04
   5.8779389694847435E+00   8.4211555003943072E-04
   5.9029514757378694E+00   8.5946298668497241E-04
   5.9279639819909962E+00   8.7706014457640178E-04
   5.9529764882441230E+00   8.9490802299754899E-04
   5.9779889944972489E+00   9.1300765643653606E-04
   6.0030015007503756E+00   9.3136012080710412E-04
   6.0280140070035024E+00   9.4996653973579599E-04
   6.0530265132566292E+00   9.6882809089924931E-04
   6.0780390195097551E+00   9.8794601239548521E-04
   6.1030515257628819E+00   1.0073216091327122E-03
   6.1280640320160087E+00   1.0269562592188943E-03
   6.1530765382691355E+00   1.0468514203350284E-03
   6.1780890445222614E+00   1.0670086360748822E-03
   6.2031015507753882E+00   1.0874295422337633E-03
   6.2281140570285149E+00   1.1081158730287500E-03
   6.2531265632816417E+00   1.1290694672327333E-03
   6.2781390695347676E+00   1.1502922742045831E-03
   6.3031515757878944E+00   1.1717863597977597E-03
   6.3281640820410212E+00   1.1935539121297417E-03
   6.3531765882941471E+00   1.2155972471947693E-03
   6.3781890945472739E+00   1.2379188143025173E-03
   6.4032016008004007E+00   1.2605212013255566E-03
   6.4282141070535275E+00   1.2834071397387079E-03
   6.4532266133066534E+00   1.3065795094336669E-03
   6.4782391195597802E+00   1.3300413432926637E-03
   6.5032516258129078E+00   1.3537958315053226E-03
   6.5282641320660337E+00   1.3778463256132907E-03
   6.5532766383191605E+00   1.4021963422677960E-03
   6.5782891445722864E+00   1.4268495666856962E-03
   6.6033016508254141E+00   1.4518098557903488E-03
   6.6283141570785400E+00   1.4770812410241046E-03
   6.6533266633316668E+00   1.5026679308200051E-03
   6.6783391695847927E+00   1.5285743127209696E-03
   6.7033516758379204E+00   1.5548049551355018E-03
   6.7283641820910454E+00   1.5813646087197595E-03
   6.7533766883441730E+00   1.6082582073766803E-03
   6.7783891945972989E+00   1.6354908688637371E-03
   6.8034017008504257E+00   1.6630678950018104E-03
   6.8284142071035516E+00   1.6909947714785782E-03
   6.8534267133566793E+00   1.7192771672408572E-03
   6.8784392196098052E+00   1.7479209334713018E-03
   6.9034517258629320E+00   1.7769321021458831E-03
   6.9284642321160579E+00   1.8063168841696657E-03
   6.9534767383691856E+00   1.8360816670894367E-03
   6.9784892446223115E+00   1.8662330123828501E-03
   7.0035017508754382E+00   1.8967776523248594E-03
